model,horizon,CRPSS,mean_log_crps
naive,1,0.3671,0.095
hb_anchored,1,0.1549,0.1268
ets,1,0.0725,0.1392
hist_mean,1,0.0,0.1501
hb_mean,1,-0.0356,0.1554
no_pool,1,-0.0597,0.1591
complete_pool,1,-5.9,1.0357
naive,3,0.2076,0.1287
hb_anchored,3,0.1918,0.1313
ets,3,0.0542,0.1536
hist_mean,3,0.0,0.1624
hb_mean,3,-0.0004,0.1625
no_pool,3,-0.0082,0.1637
complete_pool,3,-5.5385,1.062
hist_mean,7,0.0,0.2368
hb_mean,7,-0.1223,0.2658
ets,7,-0.1304,0.2677
no_pool,7,-0.1456,0.2713
hb_anchored,7,-0.1789,0.2792
naive,7,-0.2902,0.3055
complete_pool,7,-3.3816,1.0376
