model,horizon,alpha,beta,R2,unbiased
hb_anchored,1,-0.0582,1.0089,0.9062,1
hb_anchored,3,-0.0352,1.0079,0.9244,1
hb_anchored,7,0.8894,0.9189,0.8602,0
hb_mean,1,-0.0237,1.0051,0.9024,1
hb_mean,3,-0.0815,1.013,0.9087,1
hb_mean,7,-0.1735,1.027,0.8641,0
naive,1,0.5438,0.9483,0.8977,0
naive,3,0.5385,0.9512,0.9058,0
naive,7,1.9787,0.8244,0.6811,0
ets,1,-0.0399,1.0066,0.9071,1
ets,3,-0.1025,1.0148,0.9164,0
ets,7,-0.058,1.0151,0.8736,1
hist_mean,1,0.0543,0.9965,0.907,1
hist_mean,3,-0.0369,1.0072,0.9231,1
hist_mean,7,-0.0988,1.0169,0.8992,1
no_pool,1,0.059,0.996,0.9075,1
no_pool,3,-0.034,1.0069,0.9229,1
no_pool,7,-0.072,1.0141,0.8995,1
complete_pool,1,7.3793,0.3407,0.0113,0
complete_pool,3,6.9494,0.3917,0.0157,0
complete_pool,7,3.5974,0.758,0.0533,0
