model,horizon,LogCRPS_Gaussian,Coverage90_t,Winkler90,MAE_log,RMSE_log,MASE,n_forecasts
complete_pool,1,1.0357,0.6598,858610.335,1.4375,1.4375,48.1841,2193
complete_pool,3,1.062,0.6601,891421.8677,1.4757,1.4757,55.8471,1571
complete_pool,7,1.0376,0.6509,976255.1244,1.4281,1.4281,34.2647,338
ets,1,0.1392,0.6334,104990.9232,0.1923,0.1923,5.625,2193
ets,3,0.1536,0.7798,384173.555,0.2089,0.2089,8.426,1571
ets,7,0.2677,0.3846,5928914.4133,0.3014,0.3014,9.4797,338
hb_anchored,1,0.1268,0.8399,136987.9886,0.1781,0.1781,4.8866,2193
hb_anchored,3,0.1313,0.8504,506234.7695,0.1698,0.1698,6.5949,1571
hb_anchored,7,0.2792,0.5385,9343071444.4892,0.3026,0.3026,10.3299,338
hb_mean,1,0.1554,0.7059,155977.0081,0.214,0.214,6.525,2193
hb_mean,3,0.1625,0.8453,478441.4177,0.2293,0.2293,9.4951,1571
hb_mean,7,0.2658,0.571,17390740245.0011,0.3113,0.3113,9.4686,338
hist_mean,1,0.1501,0.648,122502.0758,0.2067,0.2067,6.5915,2193
hist_mean,3,0.1624,0.5334,142436.3588,0.2168,0.2168,9.5721,1571
hist_mean,7,0.2368,0.2396,315217.8088,0.28,0.28,9.4545,338
naive,1,0.095,0.8395,247154.8936,0.0875,0.0875,2.1924,2193
naive,3,0.1287,0.8084,2023157.488,0.1185,0.1185,4.7568,1571
naive,7,0.3055,0.3935,6107971.3702,0.3414,0.3414,9.5229,338
no_pool,1,0.1591,0.3839,179779.0126,0.2063,0.2063,6.5765,2193
no_pool,3,0.1637,0.6295,241141.1403,0.217,0.217,9.5451,1571
no_pool,7,0.2713,0.3964,18609947.1511,0.2779,0.2779,9.4406,338
